nombre,codigo,hexadecimal,libro,cartilla
Tiny Leaf,AP63-6,DAE4A9,Magic-Book-Nuevo,Ambiance Plus-64
Limeburst,AP63-5,C8D582,Magic-Book-Nuevo,Ambiance Plus-64
Lilting Green,AP63-4,AFC351,Magic-Book-Nuevo,Ambiance Plus-64
Greensheen,AP63-3,D0DC88,Magic-Book-Nuevo,Ambiance Plus-64
Lightly Green,AP63-2,DFE4A6,Magic-Book-Nuevo,Ambiance Plus-64
Transition Green,AP63-1,E6E8C0,Magic-Book-Nuevo,Ambiance Plus-64
Mobe Pearl,AP6-3,EBE4D7,Magic-Book-Nuevo,Ambiance Plus-64
Elusive Green,AP62-6,DCE5A6,Magic-Book-Nuevo,Ambiance Plus-64
Villa Green,AP62-5,CDD47B,Magic-Book-Nuevo,Ambiance Plus-64
Spring Vigor,AP62-4,C1D151,Magic-Book-Nuevo,Ambiance Plus-64
Young Shoot,AP62-3,DCE48B,Magic-Book-Nuevo,Ambiance Plus-64
Sheer Green,AP62-2,E5EAA9,Magic-Book-Nuevo,Ambiance Plus-64
Light Leaf,AP62-1,E8EBB9,Magic-Book-Nuevo,Ambiance Plus-64
Sleepy Pink,AP6-2,EEE5D8,Magic-Book-Nuevo,Ambiance Plus-64
Fern Tip,AP61-6,E2E5AE,Magic-Book-Nuevo,Ambiance Plus-64
Spiney Green,AP61-5,DCD879,Magic-Book-Nuevo,Ambiance Plus-64
Chartreuse,AP61-4,D0CA4E,Magic-Book-Nuevo,Ambiance Plus-64
Yellow Grass,AP61-3,E5DF88,Magic-Book-Nuevo,Ambiance Plus-64
Delicate Spikes,AP61-2,E7F2B8,Magic-Book-Nuevo,Ambiance Plus-64
Lime Bubble,AP61-1,EBECBF,Magic-Book-Nuevo,Ambiance Plus-64
Mauve Bisque,AP6-1,E7DACB,Magic-Book-Nuevo,Ambiance Plus-64
Downy Fluff,AP60-6,F3E3AA,Magic-Book-Nuevo,Ambiance Plus-64
Golden Rain,AP60-5,F1D77E,Magic-Book-Nuevo,Ambiance Plus-64
Evergold,AP60-4,EEC84A,Magic-Book-Nuevo,Ambiance Plus-64
Golden Ear,AP60-3,F9DD78,Magic-Book-Nuevo,Ambiance Plus-64
Niblet,AP60-2,F8E7A7,Magic-Book-Nuevo,Ambiance Plus-64
Cream Sateen,AP60-1,F8EBB9,Magic-Book-Nuevo,Ambiance Plus-64
Single Feather,AP59-6,F2E2A7,Magic-Book-Nuevo,Ambiance Plus-64
Feather Gold,AP59-5,F1D87E,Magic-Book-Nuevo,Ambiance Plus-64
