code,name,hex
39YY 84/095,Fantasía Marfil,#ffebbb
38YY 85/096,Crema Chantilly,#ffebbb
40YY 83/107,Crema Uniforme,#ffe9b6
44YY 80/106,Blanco Caracola,#ffebb8
45YY 83/094,Polen,#ffeab9
40YY 69/112,Licor de Maní,#f4d6a6
67YY 88/044,Alegría de Bébe,#ffefc9
61YY 89/040,Lino Claro,#ffefc6
65YY 90/062,Alturas Polares,#fff4ca
56YY 85/109,Crema Chic,#ffedb9
53YY 88/112,Fantasía Lunar,#ffefba
51YY 84/121,Pura Luz,#ffebb6
53YY 82/133,Sensación Cremosa,#ffe8b1
83YY 88/033,Blanco Quirúrgico,#fff1cc
65YY 90/062,Alturas Polares,#fff4ca
67YY 89/124,Estrella del Norte,#ffefb6
61YY 89/135,Paisaje Lunar,#ffeeb4
61YY 86/159,Blanco Exaltación,#ffeeb0
75YY 87/137,Pera Primaveral,#fff0b4
79YY 84/126,Crema Sedosa,#ffedb5
83YY 89/055,Fantasía de Algodón,#fff1c7
91YY 88/072,Sensación Eggshell,#ffefc3
71YY 87/078,Playa Blanca,#ffefc0
65YY 84/081,Litoral Marítimo,#ffeaba
66YY 88/114,Seda Matinal,#ffefbb
65YY 79/118,Blanco Maíz,#fde5b0
57YY 72/138,Blanco Lana,#f5dba4
83YY 89/055,Fantasía de Algodón,#fff0c7
68YY 86/042,Mañana Cálida,#ffecc3
77YY 86/032,Suave Nieve,#ffeec9
70YY 83/037,Blanco Casamiento,#ffe9c3
78YY 83/048,Ártico Majestuoso,#ffeac4
67YY 82/072,Blanco Inocente,#ffeabe
89YY 80/039,Copo de Nieve Eterno,#fae7c1
45GY 89/039,Casquete Polar,#fff1cb
21GY 88/066,Toque Eggshell,#fff0c5
94YY 83/072,Caramelo de Manzana,#fdeabe
97YY 83/090,Sauce Llorón,#fdebbc
10GY 83/050,Niebla de Montaña,#fceac1
30GY 83/043,Silencio Matutino,#fae9c3
30GY 73/053,Lluvia China,#ebdcb6
04GY 87/028,Algodón Distinguido,#ffeeca
50GG 83/011,Día de Invierno,#fbe9c9
50GG 83/023,Laguna Helada,#f9e9c8
70GG 83/023,Sueño Grandioso,#f8eacb
50GG 83/034,Rompiente,#f7eccb
10GG 83/018,Banco de Nieve,#f9e9c8
30GG 72/008,Hielo Sombreado,#e9d8bb
90GG 83/011,Ventisca,#f8e6c7
45GY 83/023,Diamante Pálido,#fbe9c7
36GG 87/038,Hielo Sedoso,#fcf0cf
80GY 85/051,Susurro Chino,#f9eec9
28GG 82/048,Sensación Acuática,#f2eac9
77GG 82/044,Paisaje Polar,#f2ebcd
50BG 76/023,Azul Plata,#ede0c4
50BG 83/009,Pieza de Cristal,#fde8ca
10BB 83/014,Soplo de Nieve,#fde8cc
30BB 83/018,Gota de Perla,#fce8cd
59BB 81/022,Lluvia de Barcelona,#f8e4cb
56BG 81/023,Mañana Fría,#f6e6ca
02BB 81/030,Aventura en Esquí,#f6e5ce
10BB 73/039,Horizonte,#e9dbc5
30BB 83/001,Luna de Seda,#fbe6c7
50BB 83/006,Magnolia Cristalina,#ffe9cb
30BB 83/013,Sonata Lunar,#ffe9ce
70BB 83/020,Brillo de Cristal,#fde8ce
40BB 83/017,Cristales Marítimos,#fce7ce
17BB 79/028,Bruma de Escarcha,#f4e3cb
30BB 72/040,Realidad Virtual,#e9dac4
10BB 83/006,Atmósfera,#fde9cb
50RB 83/005,Colinas de Invierno,#fde6c8
90RB 83/015,Casamiento de Verano,#ffe7cd
90RB 83/023,Momento de Promesa,#ffe7cc
90RB 83/030,Lazo de Cinta,#ffe5cc
90BB 83/020,Aire Fresco,#ffe8ce
53RR 83/031,Flor de Saúco,#ffe5c9
71YY 90/027,Escarcha Pura,#fff0cd
30GY 88/014,Blanco Crudo,#ffefce
93YY 89/012,Blanco Maravilloso,#ffefcf
56YY 87/037,Brisa de Algodón,#ffedc7
65YY 87/039,Sensación de Escarcha,#ffeec8
13GY 77/016,Caminata Invernal,#f6e1c2
85YY 74/012,Gaviota en Reposo,#f1ddbe
50RR 74/048,Rosa Frágil,#fdd9be
50RR 61/129,Rosa Inglesa,#f8bdad
50RR 49/195,Rosa Pátina,#f1a49d
50RR 32/262,Rosa Bella,#d97d80
50RR 17/372,Estilo Romántico,#bd465d
50RR 15/266,Jalea de Ciruela,#9f4a54
50RR 10/229,Malbec,#7c3a42
80RR 77/083,Toque de Cereza,#ffd9be
57RR 62/183,Reflejo Vivaz,#ffbbad
50RR 26/431,Rosa Notorio,#e25a70
49RR 17/416,Reflejo de Rosas,#c13b5a
55RR 11/401,Explosión de Pasión,#a41840
50RR 12/305,Sorpresa Merlot,#973347
32RR 09/203,Sangre de Dragón,#713340
50RR 83/034,Rosa Sombra,#ffe5c9
55RR 75/106,Rosa Sinfonía,#ffd4bd
54RR 52/260,Rosa Chispeante,#ffa29e
63RR 39/350,Destino,#f48284
63RR 19/405,Frutos del Bosque,#c64458
64RR 12/436,Rojo Picante,#b12543
54RR 09/276,Terciopelo Escarlata,#802c39
80RR 77/083,Toque de Cereza,#ffd9be
79RR 66/131,Morado Suave,#ffc8b0
71RR 58/199,Rosa Fantástico,#ffb4a2
76RR 40/294,Rosa Silvestre,#f48b81
70RR 17/372,Cereza Intenso,#be4b55
70RR 10/250,Rojo Tapiz,#893b3f
80RR 07/260,Granate Vibrante,#75272d
70RR 74/051,Rubor Nocturno,#fcd7bb
70RR 66/072,Penélope,#f6cbb3
70RR 52/120,Rosa Restauración,#e9b29f
70RR 40/168,Rosa Irlandesa,#d8988b
72RR 13/253,Begonia Osada,#974646
70RR 13/233,Pluma Roja,#914b4a
78RR 06/137,Vino de Mesa,#592d2c
85RR 75/032,Rosa Sedosa,#f9dabe
70RR 57/070,Malva de Invierno,#e4bba6
70RR 43/104,Porción de Moras,#d0a090
70RR 32/139,Rosa Colonial,#bf897d
70RR 19/190,Rosa Capri,#a3635e
72RR 07/173,Jalea de Ciruela,#663130
52RR 06/105,Casis Jugoso,#4e2828
72RR 78/058,Sensación de Rosas,#ffddc4
66RR 67/091,Sensación Rojo Cereza,#fbcbb5
70RR 54/153,Estrella de Cine,#f1b1a0
70RR 38/246,Rosa India,#e38d85
70RR 25/338,Rosa Arbórea,#d2676a
